,Unnamed: 0,Unnamed: 0.1,timestamp,open_BCH_2020_ftx_4H,high_BCH_2020_ftx_4H,low_BCH_2020_ftx_4H,close_BCH_2020_ftx_4H,volume_BCH_2020_ftx_4H,price
0,0,0,2020-11-26 00:00:00,313.5,321.975,273.65,289.375,89419.380375,289.375
1,1,1,2020-11-26 04:00:00,289.375,293.325,275.325,280.95,24923.514825,280.95
2,2,3,2020-11-26 08:00:00,280.95,283.675,264.75,275.0,39521.097675,275.0
3,3,5,2020-11-26 12:00:00,275.0,281.725,262.425,269.55,47802.896325,269.55
4,4,7,2020-11-26 16:00:00,270.475,274.35,251.025,258.8,37658.60215,258.8
5,5,9,2020-11-26 20:00:00,258.8,273.4,258.5,271.35,37753.132925,271.35
6,6,11,2020-11-27 00:00:00,271.35,278.675,266.375,268.7,15775.204575,268.7
7,7,13,2020-11-27 04:00:00,268.7,275.35,267.225,268.575,38274.412825,268.575
8,8,15,2020-11-27 08:00:00,268.575,269.8,258.25,262.275,41103.44585,262.275
9,9,17,2020-11-27 12:00:00,262.275,267.525,255.95,257.325,41389.128,257.325
10,10,19,2020-11-27 16:00:00,257.325,264.0,256.025,262.3,17398.5167,262.3
11,11,21,2020-11-27 20:00:00,262.225,265.7,261.2,265.4,63351.583225,265.4
12,12,23,2020-11-28 00:00:00,265.4,274.775,263.05,266.95,61874.1878,266.95
13,13,25,2020-11-28 04:00:00,266.95,267.475,263.55,266.425,44031.27775,266.425
14,14,27,2020-11-28 08:00:00,266.425,269.9,260.5,268.55,62174.457675,268.55
15,15,29,2020-11-28 12:00:00,268.55,283.7,266.425,282.85,72477.473425,282.85
16,16,31,2020-11-28 16:00:00,282.85,285.725,275.2,278.65,103492.484975,278.65
17,17,33,2020-11-28 20:00:00,278.65,282.275,274.775,276.65,53557.496625,276.65
18,18,35,2020-11-29 00:00:00,276.65,279.325,272.2,278.6,10603.86,278.6
19,19,37,2020-11-29 04:00:00,278.95,279.075,274.3,277.825,12727.6711,277.825
20,20,39,2020-11-29 08:00:00,277.825,289.45,277.575,281.425,27559.552925,281.425
21,21,41,2020-11-29 12:00:00,281.425,283.575,277.55,281.375,0.0,281.375
22,22,43,2020-11-29 16:00:00,281.375,285.775,276.125,279.6,15097.019475,279.6
23,23,45,2020-11-29 20:00:00,279.6,287.45,279.375,285.225,21824.9675,285.225
24,24,47,2020-11-30 00:00:00,285.225,297.1,285.225,292.925,37027.506875,292.925
25,25,49,2020-11-30 04:00:00,292.925,293.55,288.125,289.425,35713.14795,289.425
26,26,51,2020-11-30 08:00:00,289.425,289.5,280.425,289.1,36912.2197,289.1
27,27,53,2020-11-30 12:00:00,289.1,306.15,288.1,297.425,54142.739775,297.425
28,28,55,2020-11-30 16:00:00,297.425,317.7,297.175,310.525,152597.80185,310.525
29,29,57,2020-11-30 20:00:00,310.525,322.375,309.2,317.1,54488.839875,317.1
30,30,59,2020-12-01 00:00:00,317.1,318.125,310.825,311.65,27484.639375,311.65
31,31,61,2020-12-01 04:00:00,311.65,315.975,310.275,315.4,23787.7337,315.4
32,32,63,2020-12-01 08:00:00,315.4,321.125,301.675,306.875,39713.203475,306.875
33,33,65,2020-12-01 12:00:00,306.875,309.575,272.35,302.45,36700.465275,302.45
34,34,67,2020-12-01 16:00:00,302.575,306.025,287.0,296.15,25316.669275,296.15
35,35,69,2020-12-01 20:00:00,295.55,297.75,284.625,287.1,32523.030275,287.1
36,36,71,2020-12-02 00:00:00,287.1,292.875,280.2,286.925,38042.655325,286.925
37,37,73,2020-12-02 04:00:00,286.925,294.575,283.275,293.875,11804.296125,293.875
38,38,75,2020-12-02 08:00:00,293.875,297.925,291.625,294.725,7754.844775,294.725
39,39,77,2020-12-02 12:00:00,294.725,295.325,286.9,288.3,8837.6903,288.3
40,40,79,2020-12-02 16:00:00,288.75,293.825,284.4,291.35,9487.148775,291.35
41,41,81,2020-12-02 20:00:00,291.35,295.125,290.75,294.325,12862.353275,294.325
42,42,83,2020-12-03 00:00:00,294.325,296.825,290.35,292.025,27806.46405,292.025
43,43,85,2020-12-03 04:00:00,292.025,293.125,285.75,289.325,16882.942875,289.325
44,44,87,2020-12-03 08:00:00,289.325,295.475,285.75,293.7,16298.430075,293.7
45,45,89,2020-12-03 12:00:00,293.7,295.275,289.825,294.6,21782.29475,294.6
46,46,91,2020-12-03 16:00:00,294.6,296.9,287.825,290.875,11760.952825,290.875
47,47,93,2020-12-03 20:00:00,290.95,292.45,290.0,292.35,5175.59475,292.35
48,48,95,2020-12-04 00:00:00,292.35,293.8,284.425,285.1,23114.3988,285.1
49,49,97,2020-12-04 04:00:00,285.625,288.2,282.95,285.525,22061.002725,285.525
50,50,99,2020-12-04 08:00:00,285.525,307.6,279.175,285.85,57229.277175,285.85
51,51,101,2020-12-04 12:00:00,285.925,291.75,284.125,288.85,19114.6502,288.85
52,52,103,2020-12-04 16:00:00,288.85,293.525,285.0,289.0,8863.9047,289.0
53,53,105,2020-12-04 20:00:00,289.0,289.0,276.9,280.175,18904.977775,280.175
54,54,107,2020-12-05 00:00:00,279.525,284.225,274.525,281.55,2865.413775,281.55
55,55,109,2020-12-05 04:00:00,281.55,284.85,281.425,281.9,3697.644225,281.9
56,56,111,2020-12-05 08:00:00,281.9,286.975,281.85,282.075,19916.11245,282.075
