,Unnamed: 0,timestamp,block_number_compound_4H,exchange_rates_compound_4H,borrow_rates_compound_4H,supply_rates_compound_4H,total_borrows_history_compound_4H,total_supply_history_compound_4H,prices_usd_compound_4H,price
0,6,2020-11-27 00:00:00,11255129,0.0201906905920125,0.021063835005953,5.288868146934504e-05,70.1865720372,1233137.2892239175,16095.564999,16095.564999
1,7,2020-11-27 04:00:05,11256224,0.0201906913016385,0.0210625494596784,5.280673447745147e-05,70.21127278142856,1235405.733822907,16095.564999,16095.564999
2,8,2020-11-27 08:00:00,11257320,0.0201906918538862,0.0210670041261802,5.3090701721455325e-05,70.58242133454546,1235552.181488208,16095.564999,16095.564999
3,9,2020-11-27 11:59:59,11258415,0.0201906924259466,0.0210799109184762,5.392713621116183e-05,71.63720486785714,1235614.5009568324,16089.415,16089.415
4,10,2020-11-27 16:00:00,11259510,0.0201906929596946,0.0214269622647503,7.641093211445106e-05,99.85337022894736,1235032.9139996925,0.0,0.0
5,11,2020-11-27 19:59:59,11260605,0.0201906935310288,0.0214000955283832,7.464451153508817e-05,97.663972358,1234997.825056044,16087.57,16087.57
6,12,2020-11-28 00:00:00,11261700,0.0201906939967149,0.0214019256779383,7.476469940666548e-05,97.70978916857142,1233695.9454400523,0.0,0.0
7,13,2020-11-28 03:59:59,11262795,0.0201906954288783,0.0213980598256604,7.451088935446914e-05,97.87147863466666,1239733.4810800804,16087.57,16087.57
8,14,2020-11-28 08:00:00,11263890,0.0201906961328125,0.0213954726744099,7.434103237290042e-05,97.80297281608696,1241538.49637952,0.0,0.0
9,15,2020-11-28 11:59:59,11264985,0.0201906968761474,0.0213963408464095,7.439803066917949e-05,97.73237960107143,1239745.9666829575,16023.411667,16023.411667
10,16,2020-11-28 16:00:00,11266080,0.020190697801535,0.0213912931986585,7.406694120113129e-05,97.30969652735294,1239646.8116603557,0.0,0.0
11,17,2020-11-28 19:59:59,11267175,0.0201906985198773,0.021362927738084,7.220831905627078e-05,97.20980703904762,1268641.100170384,0.0,0.0
12,18,2020-11-29 00:00:00,11268270,0.0201906992976152,0.0213513229428369,7.14489469363971e-05,97.2113660852174,1281369.9608875243,0.0,0.0
13,19,2020-11-29 03:59:59,11269365,0.020190700151749,0.0213517383526351,7.147606738083482e-05,97.21036664025,1280880.5596009651,16382.0,16382.0
14,20,2020-11-29 08:00:00,11270460,0.0201907008820024,0.0213568142937333,7.180806263592288e-05,97.842991984,1283554.144913562,0.0,0.0
15,21,2020-11-29 11:59:59,11271555,0.0201907015773169,0.0213606639783924,7.205987125745482e-05,98.20414361236365,1284028.274512166,16722.030788,16722.030788
16,22,2020-11-29 16:00:00,11272650,0.0201907024110858,0.0213896928747618,7.396237447762359e-05,98.9824680612,1262703.6166128053,16727.324999,16727.324999
17,23,2020-11-29 19:59:59,11273745,0.020190703111819,0.021380058146839,7.333019761916108e-05,97.61455130433961,1255347.1552534413,16620.85125,16620.85125
18,24,2020-11-30 00:00:00,11274840,0.0201907039642134,0.0213479419391678,7.122802863476245e-05,94.84238328288889,1253811.2639598192,0.0,0.0
19,25,2020-11-30 03:59:59,11275935,0.0201907046219741,0.0214455044572889,7.769004952802114e-05,103.03496866864585,1255357.144046354,17561.835185,17561.835185
20,26,2020-11-30 08:00:00,11277030,0.0201907053837402,0.0216353260390235,9.024651701583791e-05,118.24455071234377,1250223.292345955,0.0,0.0
21,27,2020-11-30 11:59:59,11278125,0.0201907060128544,0.0216326004334522,9.00638991599583e-05,118.0877503669863,1250938.8030521309,17680.744166,17680.744166
22,28,2020-11-30 16:00:00,11279220,0.0201907074815085,0.0216313692308587,8.998309134623314e-05,118.10348894512197,1252534.8502761996,17956.584762,17956.584762
