,Unnamed: 0,timestamp,block_number_compound_1H_DAI,exchange_rates_compound_1H_DAI,borrow_rates_compound_1H_DAI,supply_rates_compound_1H_DAI,total_borrows_history_compound_1H_DAI,total_supply_history_compound_1H,prices_usd_compound_1H_DAI,price
0,6,2020-11-26 03:00:00,11254329,0.0207671276355951,0.0396941685499223,0.0292107647217855,1270114218.1730173,78553711720.85103,0.0,0.0
1,7,2020-11-26 03:29:54,11254465,0.0207671659250416,0.0397261841586646,0.0292576720754029,1269583180.0811892,78458667027.64531,1.009021,1.009021
2,8,2020-11-26 04:00:00,11254602,0.0207672132461153,0.0397671116095864,0.0293176821845395,1269593930.318644,78379942476.81903,0.0,0.0
3,9,2020-11-26 04:30:01,11254739,0.0207672457966769,0.039778425356504,0.0293342873294117,1269580120.986162,78357114163.20906,1.009021,1.009021
4,10,2020-11-26 05:00:00,11254876,0.0207672960862111,0.0397765779341915,0.0293315711611638,1268786323.01639,78311485140.60526,0.0,0.0
5,11,2020-11-26 05:30:01,11255013,0.0207673261111906,0.0397750057997141,0.0293292640494673,1268592468.4961176,78302442627.11465,0.0,0.0
6,12,2020-11-26 06:00:00,11255150,0.0207673655346036,0.0397734531619572,0.0293269857576504,1268596566.5107,78305544930.33092,0.0,0.0
7,13,2020-11-26 06:30:01,11255287,0.0207674097025646,0.0397791599409159,0.0293353611948565,1268724914.7090137,78302281733.72595,0.0,0.0
8,14,2020-11-26 07:00:00,11255424,0.0207674446422375,0.0397783939818661,0.0293342364059939,1266648746.5428972,78175491645.70206,0.0,0.0
9,15,2020-11-26 07:29:54,11255560,0.0207674834750773,0.039781279666128,0.0293384710003484,1266444221.034714,78157160803.69191,1.009021,1.009021
10,16,2020-11-26 08:00:00,11255697,0.0207675207528025,0.0397967772534101,0.0293612220946119,1268115009.8398926,78230236997.98299,0.0,0.0
11,17,2020-11-26 08:30:01,11255834,0.0207675617632516,0.0397992887914288,0.0293649076292853,1268931702.5250652,78275622748.12735,1.009021,1.009021
12,18,2020-11-26 09:00:00,11255971,0.0207676009349236,0.039801056397541,0.029367503149242,1268935323.0956724,78272289194.14624,0.0,0.0
13,19,2020-11-26 09:30:01,11256108,0.0207676320907865,0.0397988411666145,0.0293642504437526,1268944355.1977708,78277001785.64294,1.009021,1.009021
14,20,2020-11-26 10:00:00,11256245,0.0207676755843068,0.0397986271519081,0.0293639361590907,1268958108.8373547,78278098970.12029,0.0,0.0
15,21,2020-11-26 10:30:01,11256382,0.020767721677309,0.0397992251948043,0.0293648142571625,1268980065.557839,78278126006.69104,1.009021,1.009021
16,22,2020-11-26 11:00:00,11256518,0.0207677517634635,0.0398000949504931,0.0293660913171148,1269008421.6418023,78278083978.4947,0.0,0.0
17,23,2020-11-26 11:30:01,11256655,0.0207677945295138,0.0398562048028108,0.029448540588861,1269031944.5659323,78171299196.7475,1.009021,1.009021
18,24,2020-11-26 12:00:00,11256792,0.0207678341116253,0.0398569791572842,0.0294496751358498,1268945800.4793973,78164343728.80807,0.0,0.0
19,25,2020-11-26 12:30:01,11256929,0.020767870590864,0.0398487380361956,0.0294375585599541,1268706158.4318976,78165296218.83043,1.009021,1.009021
20,26,2020-11-26 13:00:00,11257066,0.0207679143029424,0.0398426555633417,0.0294286173934905,1268690392.3618157,78175863903.59195,0.0,0.0
21,27,2020-11-26 13:30:01,11257203,0.0207679510895952,0.0398313632811052,0.0294120248166689,1268642052.2187185,78194488143.73871,1.009021,1.009021
22,28,2020-11-26 14:00:00,11257340,0.0207679932842318,0.0397736926106642,0.0293273379883799,1267782147.782002,78252447779.57797,0.0,0.0
23,29,2020-11-26 14:29:54,11257476,0.0207680276218846,0.0397652639262108,0.0293149714660065,1266895939.6518235,78213872788.18312,1.009021,1.009021
24,30,2020-11-26 15:00:00,11257613,0.0207680648158188,0.0397658036514683,0.0293157624669518,1266415606.847375,78183038737.25462,0.0,0.0
25,31,2020-11-26 15:30:01,11257750,0.020768111364052,0.0397643019214269,0.029313559342938,1266361003.3060045,78182388363.02423,0.0,0.0
26,32,2020-11-26 16:00:00,11257887,0.0207681460474388,0.0397645958973105,0.0293139906160678,1266327898.0896304,78179647082.68115,0.0,0.0
27,33,2020-11-26 16:30:01,11258024,0.0207681909471402,0.0397632727448163,0.029312049560364,1266248880.7461016,78177151131.74707,0.0,0.0
28,34,2020-11-26 17:00:00,11258161,0.0207682269784011,0.0397632561518851,0.0293120252279538,1266311189.023278,78180894390.11157,0.0,0.0
29,35,2020-11-26 17:30:01,11258298,0.0207682577921585,0.0397623656377451,0.0293107188874809,1266365582.6015923,78185853966.91568,0.0,0.0
30,36,2020-11-26 18:00:00,11258435,0.0207683021366,0.0397721859198683,0.029325137256067,1266598312.5298924,78181104671.07831,0.0,0.0
31,37,2020-11-26 18:29:54,11258571,0.0207683409578639,0.0397966639814702,0.029361053775761,1270377790.8770008,78366955490.80835,1.009021,1.009021
32,38,2020-11-26 19:00:00,11258708,0.0207683839788995,0.0397973231517146,0.0293620215760962,1270403457.5518506,78367103380.1594,0.0,0.0
33,39,2020-11-26 19:30:01,11258845,0.0207684244460648,0.0397990755601701,0.0293645947432393,1270466263.9950204,78367440521.59229,0.0,0.0
34,40,2020-11-26 20:00:00,11258982,0.0207684620688308,0.0398042382257946,0.0293721752880857,1270683885.5470333,78370751504.92015,0.0,0.0
