,Unnamed: 0,timestamp,block_number_compound_4H,exchange_rates_compound_4H,borrow_rates_compound_4H,supply_rates_compound_4H,total_borrows_history_compound_4H,total_supply_history_compound_4H,prices_usd_compound_4H,price
0,6,2020-11-27 00:00:00,11260301,0.0200287974521978,0.0246172758409727,0.0009460745947566,51894.606128496765,59972512.01759297,0.0,0.0
1,7,2020-11-27 03:59:59,11261396,0.0200288070729549,0.0246210940631807,0.0009470362711929,51979.32267024652,60018616.47255736,458.12,458.12
2,8,2020-11-27 08:00:00,11262491,0.0200288181962436,0.0246311505516787,0.0009495709270664,52056.981586651214,59972197.93938409,0.0,0.0
3,9,2020-11-27 11:59:59,11263586,0.0200288270523484,0.0246422482842556,0.00095237178672,52071.52187011878,59840189.80444396,446.36,446.36
4,10,2020-11-27 16:00:00,11264681,0.0200288367281401,0.0247291961582932,0.000974372619445,53085.306388450445,59836540.90986588,0.0,0.0
5,11,2020-11-27 19:59:59,11265776,0.0200288470572679,0.0247270357358045,0.0009738214656492,53136.23660594519,59922120.371220574,448.565,448.565
6,12,2020-11-28 00:00:00,11266871,0.020028856306516,0.0246629583691365,0.0009576102018548,51782.978411626704,59231758.084364794,0.0,0.0
7,13,2020-11-28 03:59:59,11267966,0.0200288670266528,0.0246414207756065,0.0009521680597314,51409.120234611735,59088978.57238527,454.271666,454.271666
8,14,2020-11-28 08:00:00,11269061,0.0200288774107359,0.0245786942194653,0.0009363720115895,51058.98276820172,59525509.20680563,0.0,0.0
9,15,2020-11-28 11:59:59,11270156,0.0200288865050631,0.0246667888645522,0.0009585772475806,51983.606195505854,59410833.330346115,463.128333,463.128333
10,16,2020-11-28 16:00:00,11271251,0.0200288960481314,0.0246835473298254,0.0009628031243425,52127.77507017736,59352922.43269079,0.0,0.0
11,17,2020-11-28 19:59:59,11272346,0.020028907583132,0.0248200303420064,0.0009975239553628,54049.12867816101,59725050.94970456,464.034999,464.034999
12,18,2020-11-29 00:00:00,11273441,0.0200289164903269,0.0247656845710941,0.0009837184736945,53378.92034535064,59686395.652399085,0.0,0.0
13,19,2020-11-29 03:59:59,11274536,0.0200289274144275,0.0246398511174697,0.0009517659612471,51876.42846192773,59646789.89337881,466.495,466.495
14,20,2020-11-29 08:00:00,11275631,0.0200289371953176,0.0246243976956117,0.0009478754078625,51669.44920553068,59617302.862456016,0.0,0.0
15,21,2020-11-29 11:59:59,11276726,0.0200289475718085,0.0245840765200258,0.0009377314186567,51336.731006201626,59775694.82747123,480.896364,480.896364
16,22,2020-11-29 16:00:00,11277821,0.0200289567875263,0.0245763452820683,0.0009357828817743,51337.09569070477,59881649.902079694,0.0,0.0
17,23,2020-11-29 19:59:59,11278916,0.0200289664550306,0.0245401678168455,0.0009267090348899,51187.41756741604,60204469.22157532,488.911,488.911
18,24,2020-11-30 00:00:00,11280011,0.0200289756876553,0.024520092705893,0.0009217556553736,51882.223401144685,61305960.62503201,0.0,0.0
19,25,2020-11-30 03:59:59,11281106,0.0200289860712923,0.0245054844657399,0.0009180315896926,51850.61424593024,61473806.24876868,478.288333,478.288333
20,26,2020-11-30 08:00:00,11282201,0.0200289956824972,0.0244430548594414,0.0009024829555558,51127.94439869216,61507139.568273626,0.0,0.0
21,27,2020-11-30 12:00:05,11283296,0.0200290057661777,0.0244034698306893,0.0008926741993699,50816.36480969604,61704377.61563997,472.675,472.675
