,timestamp_LTC_2020_ftx_2H,open_LTC_2020_ftx_2H,high_LTC_2020_ftx_2H,low_LTC_2020_ftx_2H,close_LTC_2020_ftx_2H,volume_LTC_2020_ftx_2H
0,2020-11-26 00:00:00,81.74,83.09,71.5,77.105,61755.88895
1,2020-11-26 04:00:00,77.105,78.39,74.33,76.26,36580.1728
3,2020-11-26 08:00:00,76.26,76.34,71.745,73.9,91978.8396
5,2020-11-26 12:00:00,73.9,75.91,68.625,70.875,135307.31785
7,2020-11-26 16:00:00,70.875,71.405,64.57,66.61,288936.1701
9,2020-11-26 20:00:00,66.535,71.13,66.535,70.855,52316.4653
11,2020-11-27 00:00:00,70.855,73.455,69.78,70.84,18575.31155
13,2020-11-27 04:00:00,70.84,72.575,70.17,70.3,15009.4537
15,2020-11-27 08:00:00,70.3,71.355,66.635,67.045,83552.19255
17,2020-11-27 12:00:00,67.045,70.245,65.74,65.985,47448.76305
19,2020-11-27 16:00:00,65.985,69.075,65.44,67.965,13444.69105
21,2020-11-27 20:00:00,67.965,69.16,67.915,69.125,9162.04025
23,2020-11-28 00:00:00,69.125,70.885,68.325,69.22,50802.61985
25,2020-11-28 04:00:00,69.22,69.995,68.395,69.68,24796.6774
27,2020-11-28 08:00:00,69.68,70.96,68.425,70.575,16072.78715
29,2020-11-28 12:00:00,70.575,72.655,70.01,72.605,19551.8401
31,2020-11-28 16:00:00,72.605,74.92,71.765,74.86,31618.2764
33,2020-11-28 20:00:00,74.86,74.93,72.25,72.62,53607.9385
35,2020-11-29 00:00:00,72.62,74.75,71.62,74.625,22832.2974
37,2020-11-29 04:00:00,74.625,75.0,73.18,74.58,0.0
39,2020-11-29 08:00:00,74.58,77.175,74.115,75.31,24057.49145
41,2020-11-29 12:00:00,75.31,75.875,74.245,75.44,5537.1488
43,2020-11-29 16:00:00,75.44,79.5,74.655,78.2,20843.5554
45,2020-11-29 20:00:00,78.2,81.125,78.01,79.025,44640.15315
47,2020-11-30 00:00:00,79.025,80.32,78.57,79.74,29247.255
49,2020-11-30 04:00:00,79.74,80.0,78.405,79.43,24887.52235
51,2020-11-30 08:00:00,79.43,79.93,76.71,79.085,31040.2293
53,2020-11-30 12:00:00,79.085,85.63,79.065,84.175,124593.4575
55,2020-11-30 16:00:00,84.175,88.345,84.15,85.735,88748.32175
57,2020-11-30 20:00:00,85.735,88.34,85.15,87.65,16675.6541
59,2020-12-01 00:00:00,87.625,90.6,85.505,88.28,110346.3353
61,2020-12-01 04:00:00,88.28,90.2,87.215,88.75,11613.25895
63,2020-12-01 08:00:00,88.75,91.605,86.455,88.63,111556.9467
65,2020-12-01 12:00:00,88.63,93.035,79.905,91.16,493834.6317
67,2020-12-01 16:00:00,91.16,92.66,85.69,88.87,178853.53265
69,2020-12-01 20:00:00,88.87,89.335,83.99,85.08,93625.4865
71,2020-12-02 00:00:00,85.08,87.07,82.805,84.775,53117.78245
73,2020-12-02 04:00:00,84.775,89.9,83.18,89.695,32890.72795
75,2020-12-02 08:00:00,89.695,90.455,87.63,88.935,7027.81315
77,2020-12-02 12:00:00,88.935,89.155,85.67,86.495,38109.76345
79,2020-12-02 16:00:00,86.495,87.67,84.635,86.82,22931.3013
81,2020-12-02 20:00:00,86.82,89.485,86.605,88.885,18339.9632
83,2020-12-03 00:00:00,88.885,90.04,87.13,87.955,17159.9945
85,2020-12-03 04:00:00,87.955,88.52,85.685,88.01,41132.0484
87,2020-12-03 08:00:00,88.01,90.855,87.425,90.045,53223.43075
89,2020-12-03 12:00:00,90.045,90.445,88.045,90.23,11735.1054
91,2020-12-03 16:00:00,90.465,91.415,87.515,88.545,34166.65085
93,2020-12-03 20:00:00,88.545,89.205,87.64,89.06,7795.3102
95,2020-12-04 00:00:00,89.055,89.76,86.305,86.91,10944.48875
97,2020-12-04 04:00:00,86.91,88.005,86.5,86.87,1123.4797
99,2020-12-04 08:00:00,86.87,88.655,83.68,84.185,154944.93765
101,2020-12-04 12:00:00,84.505,85.96,83.21,84.55,23750.66565
103,2020-12-04 16:00:00,84.55,84.55,82.035,83.915,30699.64345
105,2020-12-04 20:00:00,83.93,83.965,77.835,80.14,30463.91085
107,2020-12-05 00:00:00,80.14,80.985,78.84,80.505,14383.44445
109,2020-12-05 04:00:00,80.505,82.78,80.385,81.825,0.0
111,2020-12-05 08:00:00,81.825,84.29,81.805,82.795,0.0
113,2020-12-05 12:00:00,82.78,83.895,81.865,83.1,4067.8889
115,2020-12-05 16:00:00,83.1,83.465,82.24,83.185,1993.44
