,timestamp_SOL_2020_ftx_2H,open_SOL_2020_ftx_2H,high_SOL_2020_ftx_2H,low_SOL_2020_ftx_2H,close_SOL_2020_ftx_2H,volume_SOL_2020_ftx_2H
0,2020-11-26 00:00:00,2.26,2.2975,1.8,1.91,17793.55
1,2020-11-26 04:00:00,1.91,1.935,1.8425,1.85,298.58
3,2020-11-26 08:00:00,1.85,1.875,1.75,1.8725,3554.5325
5,2020-11-26 12:00:00,1.8725,1.8725,1.835,1.835,23.855
7,2020-11-26 16:00:00,1.835,1.835,1.77,1.785,523.07
9,2020-11-26 20:00:00,1.785,1.92,1.785,1.92,1998.995
11,2020-11-27 00:00:00,1.92,1.9625,1.92,1.9275,23.13
13,2020-11-27 04:00:00,1.9275,1.935,1.9275,1.9275,0.0
15,2020-11-27 08:00:00,1.9275,1.9275,1.8275,1.8475,18.875
17,2020-11-27 12:00:00,1.8475,1.93,1.7975,1.805,0.0
19,2020-11-27 16:00:00,1.805,1.8575,1.7925,1.8425,0.0
21,2020-11-27 20:00:00,1.8425,1.8875,1.8325,1.845,994.455
23,2020-11-28 00:00:00,1.845,1.8625,1.845,1.845,0.0
25,2020-11-28 04:00:00,1.845,1.8775,1.835,1.835,18.35
27,2020-11-28 08:00:00,1.835,1.865,1.81,1.8625,25.34
29,2020-11-28 12:00:00,1.8625,1.9325,1.8475,1.92,0.0
31,2020-11-28 16:00:00,1.92,1.93,1.8925,1.91,0.0
33,2020-11-28 20:00:00,1.91,1.91,1.8625,1.885,1674.505
35,2020-11-29 00:00:00,1.885,1.89,1.87,1.885,0.0
37,2020-11-29 04:00:00,1.885,1.89,1.8825,1.885,0.0
39,2020-11-29 08:00:00,1.885,1.94,1.885,1.92,0.0
41,2020-11-29 12:00:00,1.92,1.9325,1.885,1.91,0.0
43,2020-11-29 16:00:00,1.91,1.9275,1.8825,1.885,61.03
45,2020-11-29 20:00:00,1.885,1.92,1.885,1.9125,0.0
47,2020-11-30 00:00:00,1.9125,1.9725,1.9125,1.97,1887.26
49,2020-11-30 04:00:00,1.97,1.97,1.9475,1.9475,1.9475
51,2020-11-30 08:00:00,1.9475,1.9625,1.925,1.9625,0.0
53,2020-11-30 12:00:00,1.9625,2.0125,1.9475,1.9475,0.0
55,2020-11-30 16:00:00,1.9475,1.9975,1.9475,1.9575,0.0
57,2020-11-30 20:00:00,1.9575,1.9775,1.9475,1.9575,0.0
59,2020-12-01 00:00:00,1.9575,1.9825,1.9425,1.9625,4948.105
61,2020-12-01 04:00:00,1.9625,2.1275,1.96,2.1175,12600.0
63,2020-12-01 08:00:00,2.1175,2.1175,2.0325,2.0725,0.0
65,2020-12-01 12:00:00,2.0725,2.1,1.925,2.0725,0.0
67,2020-12-01 16:00:00,2.0725,2.085,1.975,2.0,12602.0
69,2020-12-01 20:00:00,2.0,2.015,1.99,1.99,0.0
71,2020-12-02 00:00:00,1.99,2.055,1.96,2.0175,0.0
73,2020-12-02 04:00:00,2.0175,2.0525,2.0,2.0475,0.0
75,2020-12-02 08:00:00,2.0475,2.085,2.0275,2.0725,0.0
77,2020-12-02 12:00:00,2.0725,2.1325,2.035,2.1,12600.0
79,2020-12-02 16:00:00,2.1,2.21,2.1,2.14,181.23
81,2020-12-02 20:00:00,2.14,2.145,2.1,2.1225,0.0
83,2020-12-03 00:00:00,2.1225,2.14,2.08,2.1375,71.51
85,2020-12-03 04:00:00,2.1375,2.2225,2.125,2.1875,44.0
87,2020-12-03 08:00:00,2.1875,2.22,2.1825,2.2175,0.0
