,Unnamed: 0,timestamp,open_SOL_2020_ftx_1H,high_SOL_2020_ftx_1H,low_SOL_2020_ftx_1H,close_SOL_2020_ftx_1H,volume_SOL_2020_ftx_1H,price
0,7,2020-11-26 07:00:00,1.905,1.905,1.8425,1.85,48.1,1.85
1,8,2020-11-26 08:00:00,1.85,1.85,1.75,1.7625,2616.41,1.7625
2,9,2020-11-26 09:00:00,1.7625,1.8275,1.755,1.82,0.0,1.82
3,10,2020-11-26 10:00:00,1.82,1.845,1.8075,1.8425,0.0,1.8425
4,11,2020-11-26 11:00:00,1.8425,1.875,1.81,1.8725,938.1225,1.8725
5,12,2020-11-26 12:00:00,1.8725,1.8725,1.8525,1.8725,0.0,1.8725
6,13,2020-11-26 13:00:00,1.8725,1.8725,1.87,1.8725,0.0,1.8725
7,14,2020-11-26 14:00:00,1.8725,1.8725,1.835,1.835,23.855,1.835
8,15,2020-11-26 15:00:00,1.835,1.835,1.835,1.835,0.0,1.835
9,16,2020-11-26 16:00:00,1.835,1.835,1.835,1.835,0.0,1.835
10,17,2020-11-26 17:00:00,1.835,1.835,1.77,1.79,23.27,1.79
11,18,2020-11-26 18:00:00,1.79,1.79,1.78,1.79,0.0,1.79
12,19,2020-11-26 19:00:00,1.79,1.79,1.7775,1.785,499.8,1.785
13,20,2020-11-26 20:00:00,1.785,1.8725,1.785,1.855,0.0,1.855
14,21,2020-11-26 21:00:00,1.855,1.92,1.8475,1.905,1998.995,1.905
15,22,2020-11-26 22:00:00,1.905,1.92,1.8975,1.92,0.0,1.92
16,23,2020-11-26 23:00:00,1.92,1.92,1.92,1.92,0.0,1.92
17,24,2020-11-27 00:00:00,1.92,1.935,1.92,1.93,0.0,1.93
18,25,2020-11-27 01:00:00,1.93,1.935,1.93,1.93,0.0,1.93
19,26,2020-11-27 02:00:00,1.93,1.9375,1.925,1.9275,23.13,1.9275
20,27,2020-11-27 03:00:00,1.9275,1.9625,1.9275,1.9275,0.0,1.9275
21,28,2020-11-27 04:00:00,1.9275,1.9275,1.9275,1.9275,0.0,1.9275
22,29,2020-11-27 05:00:00,1.9275,1.9275,1.9275,1.9275,0.0,1.9275
23,30,2020-11-27 06:00:00,1.9275,1.935,1.9275,1.9275,0.0,1.9275
24,31,2020-11-27 07:00:00,1.9275,1.9275,1.9275,1.9275,0.0,1.9275
25,32,2020-11-27 08:00:00,1.9275,1.9275,1.84,1.87,18.875,1.87
26,33,2020-11-27 09:00:00,1.87,1.8875,1.8275,1.835,0.0,1.835
27,34,2020-11-27 10:00:00,1.835,1.8825,1.835,1.8825,0.0,1.8825
28,35,2020-11-27 11:00:00,1.8825,1.8825,1.84,1.8475,0.0,1.8475
29,36,2020-11-27 12:00:00,1.8475,1.8875,1.8375,1.8875,0.0,1.8875
30,37,2020-11-27 13:00:00,1.8875,1.8875,1.8875,1.8875,0.0,1.8875
31,38,2020-11-27 14:00:00,1.8875,1.93,1.8525,1.8525,0.0,1.8525
32,39,2020-11-27 15:00:00,1.8525,1.8875,1.7975,1.805,0.0,1.805
33,40,2020-11-27 16:00:00,1.805,1.85,1.7925,1.85,0.0,1.85
34,41,2020-11-27 17:00:00,1.85,1.85,1.8325,1.835,0.0,1.835
35,42,2020-11-27 18:00:00,1.835,1.8525,1.835,1.8525,0.0,1.8525
36,43,2020-11-27 19:00:00,1.8525,1.8575,1.8325,1.8425,0.0,1.8425
37,44,2020-11-27 20:00:00,1.8425,1.8875,1.8325,1.8825,0.0,1.8825
38,45,2020-11-27 21:00:00,1.8825,1.8825,1.8475,1.86,0.0,1.86
39,46,2020-11-27 22:00:00,1.86,1.87,1.845,1.845,994.455,1.845
40,47,2020-11-27 23:00:00,1.845,1.845,1.845,1.845,0.0,1.845
41,48,2020-11-28 00:00:00,1.845,1.8475,1.845,1.8475,0.0,1.8475
42,49,2020-11-28 01:00:00,1.8475,1.8625,1.8475,1.8575,0.0,1.8575
43,50,2020-11-28 02:00:00,1.8575,1.8575,1.845,1.845,0.0,1.845
44,51,2020-11-28 03:00:00,1.845,1.8475,1.845,1.845,0.0,1.845
45,52,2020-11-28 04:00:00,1.845,1.8775,1.8425,1.845,0.0,1.845
46,53,2020-11-28 05:00:00,1.845,1.845,1.835,1.835,18.35,1.835
47,54,2020-11-28 06:00:00,1.835,1.835,1.835,1.835,0.0,1.835
48,55,2020-11-28 07:00:00,1.835,1.835,1.835,1.835,0.0,1.835
49,56,2020-11-28 08:00:00,1.835,1.835,1.825,1.8275,0.0,1.8275
50,57,2020-11-28 09:00:00,1.8275,1.8575,1.81,1.8475,25.34,1.8475
51,58,2020-11-28 10:00:00,1.8475,1.86,1.84,1.8525,0.0,1.8525
52,59,2020-11-28 11:00:00,1.8525,1.865,1.845,1.8625,0.0,1.8625
53,60,2020-11-28 12:00:00,1.8625,1.87,1.8475,1.85,0.0,1.85
54,61,2020-11-28 13:00:00,1.85,1.9325,1.85,1.9075,0.0,1.9075
55,62,2020-11-28 14:00:00,1.9075,1.9175,1.885,1.8975,0.0,1.8975
56,63,2020-11-28 15:00:00,1.8975,1.92,1.8875,1.92,0.0,1.92
57,64,2020-11-28 16:00:00,1.92,1.93,1.91,1.915,0.0,1.915
58,65,2020-11-28 17:00:00,1.915,1.92,1.895,1.9125,0.0,1.9125
59,66,2020-11-28 18:00:00,1.9125,1.92,1.8925,1.905,0.0,1.905
60,67,2020-11-28 19:00:00,1.905,1.91,1.8975,1.91,0.0,1.91
61,68,2020-11-28 20:00:00,1.91,1.91,1.8625,1.8625,0.0,1.8625
62,69,2020-11-28 21:00:00,1.8625,1.885,1.8625,1.885,0.0,1.885
63,70,2020-11-28 22:00:00,1.885,1.89,1.875,1.88,0.0,1.88
64,71,2020-11-28 23:00:00,1.88,1.89,1.88,1.885,1674.505,1.885
65,72,2020-11-29 00:00:00,1.885,1.885,1.885,1.885,0.0,1.885
66,73,2020-11-29 01:00:00,1.885,1.885,1.8725,1.875,0.0,1.875
67,74,2020-11-29 02:00:00,1.875,1.885,1.87,1.885,0.0,1.885
68,75,2020-11-29 03:00:00,1.885,1.89,1.885,1.885,0.0,1.885
69,76,2020-11-29 04:00:00,1.885,1.885,1.885,1.885,0.0,1.885
70,77,2020-11-29 05:00:00,1.885,1.885,1.885,1.885,0.0,1.885
71,78,2020-11-29 06:00:00,1.885,1.885,1.8825,1.885,0.0,1.885
72,79,2020-11-29 07:00:00,1.885,1.89,1.885,1.885,0.0,1.885
73,80,2020-11-29 08:00:00,1.885,1.9325,1.885,1.9225,0.0,1.9225
74,81,2020-11-29 09:00:00,1.9225,1.94,1.9225,1.94,0.0,1.94
75,82,2020-11-29 10:00:00,1.94,1.94,1.93,1.935,0.0,1.935
76,83,2020-11-29 11:00:00,1.935,1.9375,1.9175,1.92,0.0,1.92
77,84,2020-11-29 12:00:00,1.92,1.92,1.885,1.9025,0.0,1.9025
78,85,2020-11-29 13:00:00,1.9025,1.9175,1.9025,1.9175,0.0,1.9175
79,86,2020-11-29 14:00:00,1.9175,1.9325,1.9125,1.915,0.0,1.915
80,87,2020-11-29 15:00:00,1.915,1.9175,1.9,1.91,0.0,1.91
81,88,2020-11-29 16:00:00,1.91,1.9275,1.9025,1.915,23.13,1.915
82,89,2020-11-29 17:00:00,1.915,1.9175,1.905,1.9075,0.0,1.9075
83,90,2020-11-29 18:00:00,1.9075,1.9075,1.8925,1.895,37.9,1.895
84,91,2020-11-29 19:00:00,1.895,1.895,1.8825,1.885,0.0,1.885
85,92,2020-11-29 20:00:00,1.885,1.895,1.885,1.895,0.0,1.895
86,93,2020-11-29 21:00:00,1.895,1.92,1.895,1.9075,0.0,1.9075
87,94,2020-11-29 22:00:00,1.9075,1.9125,1.895,1.895,0.0,1.895
88,95,2020-11-29 23:00:00,1.895,1.9125,1.895,1.9125,0.0,1.9125
89,96,2020-11-30 00:00:00,1.9125,1.955,1.9125,1.955,0.0,1.955
90,97,2020-11-30 01:00:00,1.955,1.9725,1.95,1.97,1887.26,1.97
91,98,2020-11-30 02:00:00,1.97,1.9725,1.97,1.97,0.0,1.97
92,99,2020-11-30 03:00:00,1.97,1.97,1.97,1.97,0.0,1.97
93,100,2020-11-30 04:00:00,1.97,1.97,1.9575,1.965,0.0,1.965
94,101,2020-11-30 05:00:00,1.965,1.97,1.96,1.96,0.0,1.96
95,102,2020-11-30 06:00:00,1.96,1.9675,1.9475,1.9475,1.9475,1.9475
96,103,2020-11-30 07:00:00,1.9475,1.9475,1.9475,1.9475,0.0,1.9475
97,104,2020-11-30 08:00:00,1.9475,1.9475,1.9275,1.9375,0.0,1.9375
98,105,2020-11-30 09:00:00,1.9375,1.9475,1.925,1.9475,0.0,1.9475
99,106,2020-11-30 10:00:00,1.9475,1.9575,1.9475,1.95,0.0,1.95
100,107,2020-11-30 11:00:00,1.95,1.9625,1.95,1.9625,0.0,1.9625
101,108,2020-11-30 12:00:00,1.9625,1.9875,1.9625,1.9825,0.0,1.9825
102,109,2020-11-30 13:00:00,1.9825,1.9825,1.9475,1.97,0.0,1.97
103,110,2020-11-30 14:00:00,1.97,2.0125,1.97,1.97,0.0,1.97
104,111,2020-11-30 15:00:00,1.97,1.9825,1.9475,1.9475,0.0,1.9475
105,112,2020-11-30 16:00:00,1.9475,1.9975,1.9475,1.965,0.0,1.965
106,113,2020-11-30 17:00:00,1.965,1.9825,1.955,1.97,0.0,1.97
107,114,2020-11-30 18:00:00,1.97,1.9825,1.96,1.9625,0.0,1.9625
108,115,2020-11-30 19:00:00,1.9625,1.98,1.95,1.9575,0.0,1.9575
109,116,2020-11-30 20:00:00,1.9575,1.9625,1.9475,1.9625,0.0,1.9625
110,117,2020-11-30 21:00:00,1.9625,1.9725,1.96,1.9625,0.0,1.9625
111,118,2020-11-30 22:00:00,1.9625,1.9725,1.9525,1.97,0.0,1.97
112,119,2020-11-30 23:00:00,1.97,1.9775,1.9525,1.9575,0.0,1.9575
113,120,2020-12-01 00:00:00,1.9575,1.96,1.9475,1.955,0.0,1.955
114,121,2020-12-01 01:00:00,1.955,1.955,1.9425,1.955,4948.105,1.955
115,122,2020-12-01 02:00:00,1.955,1.9775,1.955,1.9775,0.0,1.9775
116,123,2020-12-01 03:00:00,1.9775,1.9825,1.9575,1.9625,0.0,1.9625
117,124,2020-12-01 04:00:00,1.9625,1.9775,1.96,1.9675,0.0,1.9675
118,125,2020-12-01 05:00:00,1.9675,2.04,1.965,2.04,0.0,2.04
119,126,2020-12-01 06:00:00,2.04,2.08,2.0225,2.065,0.0,2.065
120,127,2020-12-01 07:00:00,2.065,2.1275,2.0475,2.1175,12600.0,2.1175
121,128,2020-12-01 08:00:00,2.1175,2.1175,2.1,2.1,0.0,2.1
122,129,2020-12-01 09:00:00,2.1,2.1,2.095,2.1,0.0,2.1
123,130,2020-12-01 10:00:00,2.1,2.1025,2.08,2.0925,0.0,2.0925
124,131,2020-12-01 11:00:00,2.0925,2.1,2.0325,2.0725,0.0,2.0725
125,132,2020-12-01 12:00:00,2.0725,2.0925,1.955,1.97,0.0,1.97
126,133,2020-12-01 13:00:00,1.97,1.98,1.925,1.97,0.0,1.97
127,134,2020-12-01 14:00:00,1.97,2.02,1.9575,2.01,0.0,2.01
128,135,2020-12-01 15:00:00,2.01,2.1,2.01,2.0725,0.0,2.0725
129,136,2020-12-01 16:00:00,2.0725,2.085,2.01,2.02,0.0,2.02
130,137,2020-12-01 17:00:00,2.02,2.025,1.975,2.0,12602.0,2.0
131,138,2020-12-01 18:00:00,2.0,2.0,1.9825,1.99,0.0,1.99
132,139,2020-12-01 19:00:00,1.99,2.0,1.99,2.0,0.0,2.0
133,140,2020-12-01 20:00:00,2.0,2.0,2.0,2.0,0.0,2.0
134,141,2020-12-01 21:00:00,2.0,2.0,2.0,2.0,0.0,2.0
135,142,2020-12-01 22:00:00,2.0,2.015,2.0,2.0,0.0,2.0
136,143,2020-12-01 23:00:00,2.0,2.0,1.99,1.99,0.0,1.99
137,144,2020-12-02 00:00:00,1.99,2.0075,1.96,2.0075,0.0,2.0075
138,145,2020-12-02 01:00:00,2.0075,2.055,2.0,2.055,0.0,2.055
139,146,2020-12-02 02:00:00,2.055,2.055,2.0175,2.0175,0.0,2.0175
140,147,2020-12-02 03:00:00,2.0175,2.04,2.005,2.0175,0.0,2.0175
141,148,2020-12-02 04:00:00,2.0175,2.03,2.0,2.0,0.0,2.0
142,149,2020-12-02 05:00:00,2.0,2.005,2.0,2.0,0.0,2.0
143,150,2020-12-02 06:00:00,2.0,2.04,2.0,2.035,0.0,2.035
144,151,2020-12-02 07:00:00,2.035,2.0525,2.025,2.0475,0.0,2.0475
145,152,2020-12-02 08:00:00,2.0475,2.0525,2.0325,2.035,0.0,2.035
146,153,2020-12-02 09:00:00,2.035,2.05,2.0275,2.045,0.0,2.045
147,154,2020-12-02 10:00:00,2.045,2.0525,2.0325,2.0425,0.0,2.0425
148,155,2020-12-02 11:00:00,2.0425,2.085,2.0425,2.0725,0.0,2.0725
149,156,2020-12-02 12:00:00,2.0725,2.0725,2.035,2.055,0.0,2.055
150,157,2020-12-02 13:00:00,2.055,2.1,2.055,2.1,7675.5,2.1
151,158,2020-12-02 14:00:00,2.1,2.1,2.1,2.1,4924.5,2.1
152,159,2020-12-02 15:00:00,2.1,2.1325,2.08,2.1,0.0,2.1
153,160,2020-12-02 16:00:00,2.1,2.11,2.1,2.1,0.0,2.1
154,161,2020-12-02 17:00:00,2.1,2.16,2.1,2.1575,181.23,2.1575
155,162,2020-12-02 18:00:00,2.1575,2.21,2.1575,2.1575,0.0,2.1575
156,163,2020-12-02 19:00:00,2.1575,2.1575,2.13,2.14,0.0,2.14
157,164,2020-12-02 20:00:00,2.14,2.14,2.1,2.1175,0.0,2.1175
158,165,2020-12-02 21:00:00,2.1175,2.14,2.1175,2.135,0.0,2.135
159,166,2020-12-02 22:00:00,2.135,2.145,2.105,2.11,0.0,2.11
160,167,2020-12-02 23:00:00,2.11,2.145,2.105,2.1225,0.0,2.1225
161,168,2020-12-03 00:00:00,2.1225,2.1375,2.115,2.1275,0.0,2.1275
162,169,2020-12-03 01:00:00,2.1275,2.1275,2.08,2.0875,71.51,2.0875
163,170,2020-12-03 02:00:00,2.0875,2.1125,2.0875,2.1125,0.0,2.1125
164,171,2020-12-03 03:00:00,2.1125,2.14,2.11,2.1375,0.0,2.1375
165,172,2020-12-03 04:00:00,2.1375,2.145,2.125,2.1425,0.0,2.1425
166,173,2020-12-03 05:00:00,2.1425,2.18,2.135,2.135,0.0,2.135
167,174,2020-12-03 06:00:00,2.135,2.2225,2.135,2.1625,44.0,2.1625
168,175,2020-12-03 07:00:00,2.1625,2.21,2.13,2.1875,0.0,2.1875
169,176,2020-12-03 08:00:00,2.1875,2.215,2.185,2.195,0.0,2.195
170,177,2020-12-03 09:00:00,2.195,2.2175,2.1825,2.2075,0.0,2.2075
171,178,2020-12-03 10:00:00,2.2075,2.2175,2.195,2.215,0.0,2.215
172,179,2020-12-03 11:00:00,2.215,2.22,2.1975,2.2175,0.0,2.2175
173,180,2020-12-03 12:00:00,2.2175,2.22,2.1375,2.1625,0.0,2.1625
174,181,2020-12-03 13:00:00,2.1625,2.1775,2.1425,2.145,0.0,2.145
175,182,2020-12-03 14:00:00,2.145,2.16,2.14,2.15,0.0,2.15
176,183,2020-12-03 15:00:00,2.15,2.15,2.1175,2.12,0.0,2.12
177,184,2020-12-03 16:00:00,2.12,2.125,2.0875,2.105,21.05,2.105
178,185,2020-12-03 17:00:00,2.105,2.105,2.095,2.105,0.0,2.105
179,186,2020-12-03 18:00:00,2.105,2.135,2.105,2.1175,0.0,2.1175
180,187,2020-12-03 19:00:00,2.1175,2.1175,2.105,2.11,0.0,2.11
181,188,2020-12-03 20:00:00,2.11,2.1125,2.105,2.105,0.0,2.105
182,189,2020-12-03 21:00:00,2.105,2.1175,2.105,2.11,0.0,2.11
183,190,2020-12-03 22:00:00,2.11,2.1125,2.105,2.1125,0.0,2.1125
184,191,2020-12-03 23:00:00,2.1125,2.1125,2.095,2.105,0.0,2.105
185,192,2020-12-04 00:00:00,2.105,2.105,2.1025,2.105,0.0,2.105
186,193,2020-12-04 01:00:00,2.105,2.105,2.09,2.09,0.0,2.09
187,194,2020-12-04 02:00:00,2.09,2.1025,2.05,2.05,11890.0,2.05
188,195,2020-12-04 03:00:00,2.05,2.05,2.0125,2.0175,860.9875,2.0175
189,196,2020-12-04 04:00:00,2.0175,2.0475,2.01,2.0475,0.0,2.0475
190,197,2020-12-04 05:00:00,2.0475,2.06,2.0475,2.06,0.0,2.06
191,198,2020-12-04 06:00:00,2.06,2.0725,2.06,2.06,20.6,2.06
192,199,2020-12-04 07:00:00,2.06,2.06,2.0425,2.05,0.0,2.05
193,200,2020-12-04 08:00:00,2.05,2.0725,2.0475,2.065,0.0,2.065
194,201,2020-12-04 09:00:00,2.065,2.0725,2.06,2.06,0.0,2.06
195,202,2020-12-04 10:00:00,2.06,2.06,1.9675,1.99,24.24,1.99
196,203,2020-12-04 11:00:00,1.99,2.015,1.9525,1.955,0.0,1.955
197,204,2020-12-04 12:00:00,1.955,1.9925,1.94,1.9925,0.0,1.9925
198,205,2020-12-04 13:00:00,1.9925,1.9925,1.97,1.98,0.0,1.98
199,206,2020-12-04 14:00:00,1.98,1.9925,1.9575,1.99,0.0,1.99
200,207,2020-12-04 15:00:00,1.99,1.995,1.975,1.9775,0.0,1.9775
201,208,2020-12-04 16:00:00,1.9775,1.9775,1.94,1.9625,0.0,1.9625
202,209,2020-12-04 17:00:00,1.9625,1.9675,1.95,1.9625,0.0,1.9625
203,210,2020-12-04 18:00:00,1.9625,1.9675,1.95,1.9575,0.0,1.9575
204,211,2020-12-04 19:00:00,1.9575,1.9625,1.935,1.9525,0.0,1.9525
205,212,2020-12-04 20:00:00,1.9525,1.9525,1.9275,1.935,19.35,1.935
206,213,2020-12-04 21:00:00,1.935,1.935,1.905,1.9125,72.835,1.9125
207,214,2020-12-04 22:00:00,1.9125,1.915,1.84,1.855,0.0,1.855
208,215,2020-12-04 23:00:00,1.855,1.8825,1.855,1.855,198.485,1.855
209,216,2020-12-05 00:00:00,1.855,1.86,1.825,1.855,0.0,1.855
210,217,2020-12-05 01:00:00,1.855,1.86,1.85,1.85,0.0,1.85
211,218,2020-12-05 02:00:00,1.85,1.8775,1.85,1.875,313.145,1.875
212,219,2020-12-05 03:00:00,1.875,1.875,1.865,1.875,0.0,1.875
213,220,2020-12-05 04:00:00,1.875,1.875,1.8675,1.8675,188.6175,1.8675
214,221,2020-12-05 05:00:00,1.8675,1.8775,1.8675,1.875,0.0,1.875
215,222,2020-12-05 06:00:00,1.875,1.89,1.8725,1.89,0.0,1.89
216,223,2020-12-05 07:00:00,1.89,1.89,1.885,1.885,0.0,1.885
217,224,2020-12-05 08:00:00,1.885,1.915,1.885,1.915,0.0,1.915
218,225,2020-12-05 09:00:00,1.915,1.9275,1.915,1.9225,0.0,1.9225
219,226,2020-12-05 10:00:00,1.9225,1.925,1.9075,1.9125,0.0,1.9125
220,227,2020-12-05 11:00:00,1.9125,1.9125,1.8925,1.905,0.0,1.905
221,228,2020-12-05 12:00:00,1.905,1.915,1.895,1.9075,0.0,1.9075
222,229,2020-12-05 13:00:00,1.9075,1.91,1.8975,1.9025,49.66,1.9025
223,230,2020-12-05 14:00:00,1.9025,1.925,1.9025,1.9225,0.0,1.9225
224,231,2020-12-05 15:00:00,1.9225,1.9375,1.9225,1.9325,0.0,1.9325
225,232,2020-12-05 16:00:00,1.9325,1.9575,1.9225,1.95,0.0,1.95
226,233,2020-12-05 17:00:00,1.95,1.9525,1.945,1.95,0.0,1.95
227,234,2020-12-05 18:00:00,1.95,1.9625,1.9425,1.9425,96.1625,1.9425
