,timestamp,open_BTC_2020_ftx_4H,high_BTC_2020_ftx_4H,low_BTC_2020_ftx_4H,close_BTC_2020_ftx_4H,volume_BTC_2020_ftx_4H
0,2020-11-26 00:00:00,18728.0,18912.5,16861.0,17958.0,502757.52675
1,2020-11-26 04:00:00,17949.0,18083.0,17486.0,17608.0,133853.74885
3,2020-11-26 08:00:00,17608.0,17608.0,16331.0,17121.0,307539.47555
5,2020-11-26 12:00:00,17121.0,17392.5,16715.5,16900.0,118841.3548
7,2020-11-26 16:00:00,16900.0,17010.0,16233.0,16493.0,225334.76015
9,2020-11-26 20:00:00,16496.0,17303.0,16491.5,17174.5,18863.0879
11,2020-11-27 00:00:00,17174.5,17441.0,17068.5,17125.0,41779.97435
13,2020-11-27 04:00:00,17125.0,17332.5,17049.0,17101.5,8103.1039
15,2020-11-27 08:00:00,17101.5,17178.0,16612.5,16774.0,160709.44715
17,2020-11-27 12:00:00,16774.0,17059.5,16428.5,16485.5,159669.4076
19,2020-11-27 16:00:00,16485.5,16861.5,16474.0,16801.0,49874.2364
21,2020-11-27 20:00:00,16801.0,17156.0,16774.5,17133.5,284974.49665
23,2020-11-28 00:00:00,17133.5,17185.0,16937.5,16992.0,17884.478
25,2020-11-28 04:00:00,16992.0,17066.5,16893.5,17033.0,47166.3612
27,2020-11-28 08:00:00,17033.0,17257.5,16879.5,17161.0,56519.39825
29,2020-11-28 12:00:00,17161.0,17531.5,17080.5,17518.5,93321.94
31,2020-11-28 16:00:00,17523.0,17852.0,17523.0,17826.0,109426.9925
33,2020-11-28 20:00:00,17826.0,17891.0,17649.0,17733.0,19404.7976
35,2020-11-29 00:00:00,17733.0,17911.0,17542.0,17885.5,19237.9894
37,2020-11-29 04:00:00,17885.5,17885.5,17687.5,17833.5,8366.655
39,2020-11-29 08:00:00,17833.5,18252.0,17820.5,18102.0,34291.8597
41,2020-11-29 12:00:00,18102.0,18211.5,17925.5,18126.5,10118.88
43,2020-11-29 16:00:00,18126.5,18159.0,17944.0,18058.5,33050.35225
45,2020-11-29 20:00:00,18058.5,18358.5,18044.5,18191.5,38142.45875
47,2020-11-30 00:00:00,18191.5,18607.0,18186.0,18588.5,120615.32085
49,2020-11-30 04:00:00,18595.0,18696.0,18468.5,18641.5,6951.2585
51,2020-11-30 08:00:00,18641.5,18681.5,18348.0,18612.5,45854.9458
53,2020-11-30 12:00:00,18613.0,20088.0,18612.5,19334.5,223914.71885
55,2020-11-30 16:00:00,19334.5,19569.5,19015.5,19255.0,83343.7152
57,2020-11-30 20:00:00,19255.0,19756.0,19177.5,19704.0,106825.0888
59,2020-12-01 00:00:00,19704.0,19721.5,19371.5,19427.0,62620.35485
61,2020-12-01 04:00:00,19427.0,19561.0,19303.5,19537.5,44562.7836
63,2020-12-01 08:00:00,19537.5,19919.5,19088.0,19462.0,189889.0406
65,2020-12-01 12:00:00,19436.5,19489.5,18155.5,19296.0,222096.74675
67,2020-12-01 16:00:00,19296.0,19337.0,18645.0,19077.0,108184.0578
69,2020-12-01 20:00:00,19077.0,19224.5,18749.0,18799.0,25320.6749
71,2020-12-02 00:00:00,18799.0,18963.5,18467.0,18619.0,28802.3708
73,2020-12-02 04:00:00,18619.0,19136.5,18337.0,19108.0,46604.0138
75,2020-12-02 08:00:00,19108.0,19395.5,19003.5,19133.0,14457.5219
77,2020-12-02 12:00:00,19145.5,19248.5,18748.0,18915.0,37833.91845
79,2020-12-02 16:00:00,18912.0,19140.0,18788.5,19107.0,13376.30545
81,2020-12-02 20:00:00,19107.0,19280.0,19058.0,19200.0,77726.35695
83,2020-12-03 00:00:00,19200.0,19313.0,18957.0,19099.0,12259.7389
85,2020-12-03 04:00:00,19099.0,19621.5,18884.0,19200.0,29720.68875
87,2020-12-03 08:00:00,19200.0,19499.0,19175.0,19415.0,38087.92445
89,2020-12-03 12:00:00,19423.0,19559.5,19252.5,19528.0,26900.04765
91,2020-12-03 16:00:00,19528.0,19616.5,19208.5,19430.0,51250.95515
93,2020-12-03 20:00:00,19430.0,19560.5,19330.5,19439.5,28315.71885
95,2020-12-04 00:00:00,19439.5,19546.5,19151.5,19173.5,6672.8084
97,2020-12-04 04:00:00,19173.5,19372.5,19146.5,19289.0,6267.85265
99,2020-12-04 08:00:00,19305.0,19459.0,18789.5,18830.0,40403.9979
101,2020-12-04 12:00:00,18830.0,19155.5,18712.0,18951.0,20880.575
103,2020-12-04 16:00:00,18951.0,19078.0,18835.5,19057.5,45405.22805
105,2020-12-04 20:00:00,19057.5,19083.0,18585.0,18670.0,68090.0348
107,2020-12-05 00:00:00,18670.0,18889.5,18517.5,18846.5,26145.33835
109,2020-12-05 04:00:00,18846.5,19007.5,18818.5,18935.0,7375.135
111,2020-12-05 08:00:00,18935.0,19180.0,18931.5,19027.5,6472.60405
113,2020-12-05 12:00:00,19027.5,19157.0,18963.5,19117.0,12800.7188
115,2020-12-05 16:00:00,19117.0,19188.0,19036.5,19131.5,8799.64
117,2020-12-05 20:00:00,19131.5,19167.5,18992.0,19157.5,9334.74315
119,2020-12-06 00:00:00,19157.5,19357.5,19133.0,19198.0,61947.2476
121,2020-12-06 04:00:00,19198.0,19267.0,19114.5,19244.5,23311.40975
123,2020-12-06 08:00:00,19244.5,19262.0,18954.5,19105.0,6580.3617
125,2020-12-06 12:00:00,19105.0,19166.5,18886.0,19139.5,10114.64565
127,2020-12-06 16:00:00,19139.5,19222.0,19033.5,19143.0,16907.19975
129,2020-12-06 20:00:00,19143.0,19425.0,19068.5,19379.5,31871.3012
131,2020-12-07 00:00:00,19379.5,19439.0,19169.5,19307.5,21529.6891
133,2020-12-07 04:00:00,19307.5,19403.5,19237.5,19370.5,16187.61705
135,2020-12-07 08:00:00,19370.5,19385.0,19098.0,19122.5,24366.44585
137,2020-12-07 12:00:00,19122.5,19273.5,19097.0,19232.5,7234.68625
139,2020-12-07 16:00:00,19232.5,19249.5,18905.5,18967.5,92166.097
141,2020-12-07 20:00:00,18967.5,19240.5,18938.5,19184.0,85460.60965
143,2020-12-08 00:00:00,19184.0,19241.0,19140.5,19161.0,21825.54675
145,2020-12-08 04:00:00,19161.0,19311.5,19100.5,19143.0,45417.92195
147,2020-12-08 08:00:00,19143.0,19173.5,18671.5,18762.5,147434.52195
149,2020-12-08 12:00:00,18761.0,18985.0,18602.5,18808.5,152044.146
151,2020-12-08 16:00:00,18808.5,18937.0,18750.0,18778.0,75756.95055
