,Unnamed: 0,timestamp,block_number_compound_4H_DAI,exchange_rates_compound_4H_DAI,borrow_rates_compound_4H_DAI,supply_rates_compound_4H_DAI,total_borrows_history_compound_4H_DAI,total_supply_history_compound_4H_DAI,prices_usd_compound_4H_DAI,price
0,6,2020-11-26 12:00:00,11256993,0.0207679594499224,0.0398116006266989,0.0293830099297391,1268212080.8178988,78206031867.68077,0.0,0.0
1,7,2020-11-26 13:59:59,11257540,0.0207681004172884,0.0397647758381034,0.02931425465314,1266372655.127687,78182235141.33751,1.009021,1.009021
2,8,2020-11-26 16:00:00,11258088,0.0207682591692966,0.0397675545205921,0.0293183361767114,1266540756.314516,78186647803.35466,0.0,0.0
3,9,2020-11-26 17:59:59,11258635,0.0207684162408225,0.0397998290940454,0.0293657011763399,1270504402.850726,78368368616.95163,1.007832,1.007832
4,10,2020-11-26 20:00:00,11259183,0.0207685802030781,0.0398017012088574,0.0293684500687672,1270625129.7414353,78371581393.80936,0.0,0.0
5,11,2020-11-26 21:59:59,11259730,0.0207687224934103,0.0397599871062261,0.0293072761987985,1270508885.4764183,78444631620.07872,1.007238,1.007238
6,12,2020-11-27 00:00:00,11260278,0.0207688809868456,0.0397408187429512,0.0292791240006411,1270614523.9673123,78487558838.27841,0.0,0.0
7,13,2020-11-27 01:59:59,11260825,0.0207690440090736,0.03974657810934,0.0292875652917783,1270578848.484614,78473573089.98596,1.007238,1.007238
8,14,2020-11-27 04:00:00,11261373,0.0207692166820325,0.0397340044285218,0.029269129932388,1270154766.9347265,78471076592.73642,0.0,0.0
9,15,2020-11-27 05:59:59,11261920,0.0207693576025895,0.0397439054447381,0.0292836454754218,1270267048.9332244,78458305472.2891,1.007238,1.007238
10,16,2020-11-27 08:00:00,11262468,0.0207695529898276,0.0399617780917233,0.0296041950342864,1272093992.6484451,78150802629.34343,0.0,0.0
11,17,2020-11-27 09:59:59,11263015,0.0207696494579896,0.0400812659938458,0.0297804006085018,1271461012.3437574,77882645488.68872,1.007238,1.007238
12,18,2020-11-27 12:00:00,11263563,0.0207698304777585,0.040105960173229,0.0298169242497359,1270288513.3333633,77763158626.17119,0.0,0.0
13,19,2020-11-27 13:59:59,11264110,0.0207699882481374,0.0401211528922389,0.02983940840056,1269068325.904627,77659033380.81601,1.007238,1.007238
14,20,2020-11-27 16:00:00,11264658,0.020770149547157,0.0401190757038764,0.0298363347457583,1267461090.1193492,77564010212.30075,0.0,0.0
15,21,2020-11-27 17:59:59,11265205,0.0207703089023044,0.0399544507165882,0.0295937476224752,1263720281.8601484,77647296617.20679,1.007435,1.007435
16,22,2020-11-27 20:00:00,11265753,0.0207704363848204,0.0401076333125219,0.0298194176921488,1270614416.4053628,77777629978.93211,0.0,0.0
17,23,2020-11-27 21:59:59,11266300,0.0207706151297015,0.040102639640562,0.0298120259976469,1270458376.9906712,77776935839.19992,1.007523,1.007523
18,24,2020-11-28 00:00:00,11266848,0.0207707780682759,0.0401946542940593,0.0299483206951336,1275506640.0390985,77910102182.53143,0.0,0.0
19,25,2020-11-28 01:59:59,11267395,0.0207709311770782,0.0402836442342499,0.0300804555176194,1280756495.4888754,78060611622.12602,0.0,0.0
20,26,2020-11-28 04:00:00,11267943,0.020771108639531,0.0403696879267201,0.0302084230990958,1284289038.9387424,78111768280.37085,0.0,0.0
21,27,2020-11-28 05:59:59,11268490,0.0207712750729619,0.0403870023792277,0.0302342129500123,1282939693.102488,77996256056.24788,1.007523,1.007523
22,28,2020-11-28 08:00:00,11269038,0.0207714232703511,0.0403727580301916,0.030212991536412,1283079691.1391797,78031190966.97357,0.0,0.0
23,29,2020-11-28 09:59:59,11269585,0.0207715816286909,0.0404196801619401,0.0302829252522278,1290106324.889997,78368597177.99805,1.007523,1.007523
24,30,2020-11-28 12:00:00,11270133,0.0207717644255848,0.0404132114859122,0.0302732767639676,1292104673.0182257,78501640484.8913,0.0,0.0
25,31,2020-11-28 13:59:59,11270680,0.0207719129087015,0.0403714740365201,0.030211080250007,1291820438.0856264,78563372425.31873,1.007523,1.007523
26,32,2020-11-28 16:00:00,11271228,0.0207720609291214,0.0403459030372641,0.0301730051153231,1291771027.1628776,78608621935.51443,0.0,0.0
27,33,2020-11-28 17:59:59,11271775,0.0207722252861148,0.0403307496314941,0.0301504533897152,1291165243.9143248,78600081318.8871,1.006249,1.006249
28,34,2020-11-28 20:00:00,11272323,0.0207724097415189,0.0402810477747027,0.0300765802006952,1289466439.4378898,78590960172.11345,1.005902,1.005902
29,35,2020-11-28 21:59:59,11272870,0.0207725510144545,0.0401177977858901,0.0298346550395377,1282818898.1287234,78497257834.28638,1.005902,1.005902
30,36,2020-11-29 00:00:00,11273418,0.0207727081962793,0.0399808148673852,0.0296320862342114,1281247847.0641904,78663989280.32086,1.005902,1.005902
31,37,2020-11-29 01:59:59,11273965,0.0207728698831593,0.0399171557223649,0.0295382320216742,1281537080.7309508,78804134199.11589,1.005902,1.005902
32,38,2020-11-29 04:00:00,11274513,0.0207730211739336,0.0398475181040592,0.0294357675174209,1277498520.323784,78689836094.0757,1.005902,1.005902
33,39,2020-11-29 05:59:59,11275060,0.0207731680603719,0.0398337589065538,0.0294155642607061,1272609238.7548404,78414708105.9895,1.005902,1.005902
34,40,2020-11-29 08:00:00,11275608,0.0207733239518537,0.039769551694188,0.0293212699956827,1272115746.9907587,78507809770.91902,1.005902,1.005902
35,41,2020-11-29 09:59:59,11276155,0.020773490995874,0.039869930051361,0.0294687993493743,1279779938.3938305,78785141561.44157,1.005902,1.005902
