,Unnamed: 0,timestamp,open_ETH_2020_ftx_4H,high_ETH_2020_ftx_4H,low_ETH_2020_ftx_4H,close_ETH_2020_ftx_4H,volume_ETH_2020_ftx_4H,price
0,0,2020-11-26 00:00:00,568.96,576.77,504.11,531.88,26539.18999,531.88
1,1,2020-11-26 04:00:00,531.88,536.4,511.15,514.61,2471.56925,514.61
2,3,2020-11-26 08:00:00,514.61,520.13,483.68,514.6,20202.96766,514.6
3,5,2020-11-26 12:00:00,514.6,526.02,501.35,506.85,13835.30495,506.85
4,7,2020-11-26 16:00:00,507.72,511.87,483.07,499.55,19512.62287,499.55
5,9,2020-11-26 20:00:00,499.55,523.47,499.22,518.72,3970.13426,518.72
6,11,2020-11-27 00:00:00,519.37,530.11,516.71,520.78,1592.26262,520.78
7,13,2020-11-27 04:00:00,520.78,528.85,515.76,518.01,520.52,518.01
8,15,2020-11-27 08:00:00,518.1,520.0,503.0,508.37,0.0,508.37
9,17,2020-11-27 12:00:00,508.26,517.28,493.67,497.03,8146.88068,497.03
10,19,2020-11-27 16:00:00,497.34,508.58,494.29,506.57,18442.0668,506.57
11,21,2020-11-27 20:00:00,506.34,518.86,505.46,518.18,5992.7211,518.18
12,23,2020-11-28 00:00:00,518.67,520.46,513.43,516.25,0.0,516.25
13,25,2020-11-28 04:00:00,516.25,516.54,510.25,513.95,841.84941,513.95
14,27,2020-11-28 08:00:00,514.28,520.25,507.08,518.73,0.0,518.73
15,29,2020-11-28 12:00:00,518.8,534.15,515.49,533.44,677.53268,533.44
16,31,2020-11-28 16:00:00,533.44,547.29,533.44,546.59,6958.23722,546.59
17,33,2020-11-28 20:00:00,546.65,548.74,535.99,537.67,3251.82,537.67
18,35,2020-11-29 00:00:00,537.67,544.55,531.25,543.44,0.0,543.44
19,37,2020-11-29 04:00:00,543.44,543.84,536.25,541.73,0.0,541.73
20,39,2020-11-29 08:00:00,541.73,559.07,540.91,551.67,265.5601,551.67
21,41,2020-11-29 12:00:00,551.67,557.05,547.28,554.57,101.47533,554.57
22,43,2020-11-29 16:00:00,554.57,557.51,549.52,552.29,0.0,552.29
23,45,2020-11-29 20:00:00,552.29,577.44,551.76,576.81,11826.09704,576.81
24,47,2020-11-30 00:00:00,576.81,593.03,575.99,588.46,100.93368,588.46
25,49,2020-11-30 04:00:00,588.46,589.16,580.88,585.84,12611.94231,585.84
26,51,2020-11-30 08:00:00,585.84,592.21,571.42,589.24,2007.10685,589.24
27,53,2020-11-30 12:00:00,589.24,613.18,588.71,596.71,103025.93021,596.71
28,55,2020-11-30 16:00:00,596.71,614.35,595.01,603.16,867.46307,603.16
29,57,2020-11-30 20:00:00,603.16,616.86,599.2,616.29,3863.25673,616.29
30,59,2020-12-01 00:00:00,616.29,617.27,603.42,606.0,67.2155,606.0
31,61,2020-12-01 04:00:00,606.0,612.35,601.91,611.05,0.0,611.05
32,63,2020-12-01 08:00:00,611.05,636.78,599.77,617.04,40137.19126,617.04
33,65,2020-12-01 12:00:00,617.04,619.1,563.46,605.27,66750.43831,605.27
34,67,2020-12-01 16:00:00,605.27,610.21,583.55,599.14,11882.6,599.14
35,69,2020-12-01 20:00:00,598.96,601.53,584.11,586.78,0.0,586.78
36,71,2020-12-02 00:00:00,586.78,597.27,576.26,586.59,234.80204,586.59
37,73,2020-12-02 04:00:00,586.59,598.76,577.37,597.52,2026.49281,597.52
38,75,2020-12-02 08:00:00,597.52,604.79,593.39,599.24,102.47004,599.24
39,77,2020-12-02 12:00:00,599.13,599.24,585.45,590.18,1195.93587,590.18
40,79,2020-12-02 16:00:00,590.21,598.29,583.9,596.04,1599.76362,596.04
41,81,2020-12-02 20:00:00,596.71,601.51,595.85,597.0,2506.87046,597.0
42,83,2020-12-03 00:00:00,597.0,600.39,589.32,595.72,63.26482,595.72
43,85,2020-12-03 04:00:00,595.6,599.75,586.58,598.66,999.4072,598.66
44,87,2020-12-03 08:00:00,598.66,616.14,594.94,613.92,7630.4883,613.92
45,89,2020-12-03 12:00:00,613.92,619.64,605.69,618.19,28458.99809,618.19
46,91,2020-12-03 16:00:00,619.48,623.49,608.73,614.49,10312.85085,614.49
47,93,2020-12-03 20:00:00,614.23,619.44,610.8,616.48,20.31909,616.48
48,95,2020-12-04 00:00:00,616.47,620.72,601.94,603.49,1041.57125,603.49
49,97,2020-12-04 04:00:00,603.03,608.59,600.05,605.04,46.878,605.04
50,99,2020-12-04 08:00:00,605.04,613.92,585.0,585.0,15065.27931,585.0
51,101,2020-12-04 12:00:00,585.0,596.02,584.51,588.9,3630.36872,588.9
52,103,2020-12-04 16:00:00,588.9,593.38,582.18,591.44,0.0,591.44
53,105,2020-12-04 20:00:00,591.44,594.9,566.23,568.33,19892.60169,568.33
54,107,2020-12-05 00:00:00,567.53,578.92,561.21,575.95,2925.47406,575.95
55,109,2020-12-05 04:00:00,575.95,589.55,575.64,585.53,35.33425,585.53
56,111,2020-12-05 08:00:00,585.53,597.76,585.31,589.84,1040.26151,589.84
57,113,2020-12-05 12:00:00,589.88,595.2,584.71,592.65,0.0,592.65
58,115,2020-12-05 16:00:00,592.65,596.36,589.76,595.1,98.5874,595.1
59,117,2020-12-05 20:00:00,595.1,596.18,590.75,595.5,12607.926,595.5
60,119,2020-12-06 00:00:00,595.5,607.9,595.5,597.4,13484.92958,597.4
61,121,2020-12-06 04:00:00,597.4,601.85,595.05,600.87,6586.005,600.87
62,123,2020-12-06 08:00:00,600.64,602.1,588.21,593.57,3778.17618,593.57
63,125,2020-12-06 12:00:00,593.57,597.44,583.2,595.19,330.9123,595.19
64,127,2020-12-06 16:00:00,595.26,598.86,591.96,595.93,12602.39055,595.93
65,129,2020-12-06 20:00:00,595.93,604.29,590.32,603.89,61701.65252,603.89
66,131,2020-12-07 00:00:00,603.89,603.89,591.3,595.14,347.63368,595.14
67,133,2020-12-07 04:00:00,595.14,601.81,592.97,601.03,0.0,601.03
68,135,2020-12-07 08:00:00,601.03,601.33,590.1,590.94,400.034,590.94
69,137,2020-12-07 12:00:00,590.94,597.99,590.17,594.86,233.54944,594.86
70,139,2020-12-07 16:00:00,594.86,596.07,584.38,587.55,148.16617,587.55
71,141,2020-12-07 20:00:00,587.55,593.58,584.59,591.63,200053.32653,591.63
72,143,2020-12-08 00:00:00,591.63,592.59,586.67,588.84,0.0,588.84
73,145,2020-12-08 04:00:00,588.84,595.41,588.09,588.5,64.12234,588.5
74,147,2020-12-08 08:00:00,588.5,589.15,571.01,574.13,20800.71224,574.13
75,149,2020-12-08 12:00:00,574.13,581.14,568.55,573.97,3538.20973,573.97
76,151,2020-12-08 16:00:00,573.97,577.99,570.25,571.23,2811.51583,571.23
77,153,2020-12-08 20:00:00,571.23,572.36,548.42,554.64,24563.74331,554.64
78,155,2020-12-09 00:00:00,554.64,556.45,541.99,552.04,0.0,552.04
79,157,2020-12-09 04:00:00,552.04,552.75,537.04,538.53,3212.22924,538.53
80,159,2020-12-09 08:00:00,538.53,565.4,530.29,561.87,3522.15477,561.87
81,161,2020-12-09 12:00:00,561.87,576.8,559.91,567.84,0.0,567.84
82,163,2020-12-09 16:00:00,567.87,574.21,561.5,568.23,51373.372,568.23
83,165,2020-12-09 20:00:00,568.23,577.97,566.35,573.37,0.0,573.37
84,167,2020-12-10 00:00:00,573.38,575.53,565.31,567.68,1132.248,567.68
85,169,2020-12-10 04:00:00,567.68,571.74,559.58,563.72,0.0,563.72
86,171,2020-12-10 08:00:00,563.72,569.23,552.14,555.35,999.45252,555.35
87,173,2020-12-10 12:00:00,555.35,562.52,548.18,557.25,1916.454,557.25
88,175,2020-12-10 16:00:00,557.12,565.65,554.87,565.42,28939.84848,565.42
89,177,2020-12-10 20:00:00,565.45,568.46,557.32,559.27,0.0,559.27
90,179,2020-12-11 00:00:00,558.9,560.66,540.1,547.22,2083.8747,547.22
91,181,2020-12-11 04:00:00,547.22,548.8,534.86,540.75,3492.47388,540.75
92,183,2020-12-11 08:00:00,540.75,548.06,535.7,538.81,3890.11399,538.81
93,185,2020-12-11 12:00:00,538.81,554.66,536.98,553.92,155.49315,553.92
94,187,2020-12-11 16:00:00,553.92,554.33,542.76,546.26,901.75725,546.26
95,189,2020-12-11 20:00:00,546.26,551.94,543.57,544.54,2234.01603,544.54
96,191,2020-12-12 00:00:00,544.54,557.48,543.18,555.93,56.63589,555.93
97,193,2020-12-12 04:00:00,555.93,561.36,554.12,559.27,10.63924,559.27
98,195,2020-12-12 08:00:00,559.27,560.75,554.16,559.63,2376.86034,559.63
99,197,2020-12-12 12:00:00,559.63,560.44,551.56,554.6,249.85851,554.6
100,199,2020-12-12 16:00:00,554.6,570.32,551.81,569.21,510.40938,569.21
101,201,2020-12-12 20:00:00,568.85,574.24,566.67,568.65,226.75254,568.65
102,203,2020-12-13 00:00:00,568.62,569.76,563.71,566.28,12537.99504,566.28
103,205,2020-12-13 04:00:00,566.28,579.9,564.77,579.58,1551.82765,579.58
104,207,2020-12-13 08:00:00,579.54,587.09,577.29,586.03,15430.66494,586.03
105,209,2020-12-13 12:00:00,585.89,590.0,580.0,585.12,246.3214,585.12
106,211,2020-12-13 16:00:00,584.36,595.28,584.36,591.54,18753.77717,591.54
107,213,2020-12-13 20:00:00,591.54,593.08,583.88,590.44,88.73968,590.44
108,215,2020-12-14 00:00:00,590.44,591.62,581.62,590.41,30960.93255,590.41
109,217,2020-12-14 04:00:00,590.41,591.11,582.84,585.78,920.26084,585.78
110,219,2020-12-14 08:00:00,585.78,589.29,575.51,579.68,2589.72343,579.68
111,221,2020-12-14 12:00:00,579.77,588.5,575.98,584.3,19.35186,584.3
112,223,2020-12-14 16:00:00,584.3,586.41,580.03,585.0,519.79188,585.0
113,225,2020-12-14 20:00:00,585.0,588.74,582.64,586.35,437.16716,586.35
114,227,2020-12-15 00:00:00,586.39,597.45,585.61,592.94,32760.50188,592.94
115,229,2020-12-15 04:00:00,592.94,593.81,579.53,584.95,38.51529,584.95
116,231,2020-12-15 08:00:00,584.95,589.53,580.06,585.95,7939.18923,585.95
117,233,2020-12-15 12:00:00,585.95,589.72,582.74,586.03,7133.90236,586.03
118,235,2020-12-15 16:00:00,586.07,592.91,584.14,592.31,16930.97317,592.31
119,237,2020-12-15 20:00:00,592.34,593.52,585.61,589.13,1027.72437,589.13
120,239,2020-12-16 00:00:00,589.13,589.67,582.34,583.54,3996.79064,583.54
121,241,2020-12-16 04:00:00,583.54,586.71,580.98,585.12,17.4438,585.12
122,243,2020-12-16 08:00:00,585.12,596.83,583.7,594.12,3114.96339,594.12
123,245,2020-12-16 12:00:00,594.12,626.53,591.41,620.96,47696.29328,620.96
124,247,2020-12-16 16:00:00,620.96,629.76,617.11,623.28,38764.99371,623.28
125,249,2020-12-16 20:00:00,623.28,639.73,621.45,637.41,7693.0607,637.41
126,251,2020-12-17 00:00:00,637.71,652.27,633.53,636.43,34645.77048,636.43
127,253,2020-12-17 04:00:00,636.43,648.98,636.31,647.83,4114.583,647.83
128,255,2020-12-17 08:00:00,647.83,669.76,637.41,663.36,19369.74652,663.36
129,257,2020-12-17 12:00:00,663.36,667.37,655.86,664.85,1855.99895,664.85
130,259,2020-12-17 16:00:00,664.85,676.37,627.6,647.06,34316.53147,647.06
131,261,2020-12-17 20:00:00,647.06,652.95,626.93,641.98,13047.90123,641.98
132,263,2020-12-18 00:00:00,641.98,654.13,630.03,642.74,3800.55,642.74
133,265,2020-12-18 04:00:00,642.74,648.51,639.22,644.16,0.0,644.16
134,267,2020-12-18 08:00:00,644.52,664.45,641.96,650.1,1304.30065,650.1
135,269,2020-12-18 12:00:00,650.14,654.63,631.99,638.28,4337.04708,638.28
136,271,2020-12-18 16:00:00,638.39,648.34,634.75,645.33,1001.6612,645.33
137,273,2020-12-18 20:00:00,645.44,655.89,643.92,654.4,0.0,654.4
138,275,2020-12-19 00:00:00,654.44,660.7,646.41,655.94,2146.79763,655.94
139,277,2020-12-19 04:00:00,656.18,658.58,647.58,649.57,3689.83777,649.57
140,279,2020-12-19 08:00:00,649.57,657.65,646.9,651.49,0.0,651.49
141,281,2020-12-19 12:00:00,651.49,661.35,649.94,655.8,33826.11183,655.8
142,283,2020-12-19 16:00:00,655.8,670.87,653.64,659.96,11809.92688,659.96
143,285,2020-12-19 20:00:00,659.92,669.44,656.55,658.8,1291.50993,658.8
144,287,2020-12-20 00:00:00,658.74,659.21,642.04,646.58,3236.3049,646.58
145,289,2020-12-20 04:00:00,646.58,657.5,641.32,657.31,0.0,657.31
146,291,2020-12-20 08:00:00,657.31,661.56,649.93,652.73,1737.68591,652.73
147,293,2020-12-20 12:00:00,652.73,654.71,642.39,654.7,1646.5638,654.7
148,295,2020-12-20 16:00:00,654.43,655.72,644.7,649.81,64.959,649.81
149,297,2020-12-20 20:00:00,649.81,658.12,621.36,638.07,18163.25736,638.07
150,299,2020-12-21 00:00:00,638.07,647.86,635.47,645.44,3585.77095,645.44
151,301,2020-12-21 04:00:00,645.38,648.36,636.47,646.35,125.1624,646.35
152,303,2020-12-21 08:00:00,646.35,648.24,603.46,606.64,42207.61871,606.64
153,305,2020-12-21 12:00:00,606.64,620.01,595.23,612.02,6116.45113,612.02
154,307,2020-12-21 16:00:00,612.02,619.5,602.51,611.34,3423.84538,611.34
155,309,2020-12-21 20:00:00,611.34,618.67,606.99,607.59,0.0,607.59
156,311,2020-12-22 00:00:00,607.59,613.86,601.79,609.78,1432.2024,609.78
157,313,2020-12-22 04:00:00,609.78,615.43,592.12,595.39,36176.31408,595.39
158,315,2020-12-22 08:00:00,595.39,612.61,587.81,611.63,12652.85924,611.63
159,317,2020-12-22 12:00:00,611.63,634.76,608.49,626.59,1527.53289,626.59
160,319,2020-12-22 16:00:00,626.59,633.97,622.44,627.28,2477.38088,627.28
161,321,2020-12-22 20:00:00,627.28,638.02,618.3,636.7,9005.92974,636.7
162,323,2020-12-23 00:00:00,636.7,638.76,620.56,623.39,4204.60957,623.39
163,325,2020-12-23 04:00:00,623.39,624.56,607.32,615.72,33249.55956,615.72
164,327,2020-12-23 08:00:00,615.72,619.64,592.04,601.45,20927.4576,601.45
165,329,2020-12-23 12:00:00,601.45,622.25,598.29,605.94,2527.6972,605.94
166,331,2020-12-23 16:00:00,605.94,612.82,595.5,610.34,1218.9269,610.34
167,333,2020-12-23 20:00:00,610.34,612.89,550.1,584.48,126692.0246,584.48
168,335,2020-12-24 00:00:00,584.48,586.49,565.58,574.63,1916.99176,574.63
169,337,2020-12-24 04:00:00,574.63,583.08,570.72,580.52,217702.65736,580.52
170,339,2020-12-24 08:00:00,580.52,585.56,573.99,582.46,23.2804,582.46
171,341,2020-12-24 12:00:00,582.46,599.76,577.79,592.56,1148.81252,592.56
172,343,2020-12-24 16:00:00,592.7,597.26,585.61,594.6,0.0,594.6
173,345,2020-12-24 20:00:00,594.6,615.02,592.41,612.24,36302.47978,612.24
174,347,2020-12-25 00:00:00,612.23,615.54,603.91,605.4,19475.77268,605.4
175,349,2020-12-25 04:00:00,605.4,615.42,604.19,612.82,8204.48272,612.82
176,351,2020-12-25 08:00:00,612.82,634.31,611.54,629.1,7021.17366,629.1
177,353,2020-12-25 12:00:00,629.1,631.75,612.2,613.09,29378.53712,613.09
178,355,2020-12-25 16:00:00,613.09,623.65,607.73,619.18,75008.16529,619.18
179,357,2020-12-25 20:00:00,619.12,627.7,615.5,626.79,7313.23436,626.79
180,359,2020-12-26 00:00:00,626.79,637.21,620.92,633.71,2114.27435,633.71
181,361,2020-12-26 04:00:00,633.71,634.33,621.62,624.93,690.3272,624.93
